date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:08	11724/11724	---M--	200	added ('OK')	font/woff2	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/fonts/opensans/mem5YaGs126MiZpBA-UNirkOXOhpOqc.woff2	D:/www/kuluc/bonevn.net/assets/fonts/opensans/mem5YaGs126MiZpBA-UNirkOXOhpOqc.woff2	(from https://bonevn.net/assets/css/style.css)
15:48:08	2548/2548	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/fonts/pct.eot	D:/www/kuluc/bonevn.net/assets/fonts/pct.eot	(from https://bonevn.net/assets/css/style.css)
15:48:08	2548/2548	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/fonts/pct.eot?	D:/www/kuluc/bonevn.net/assets/fonts/pctd41d.eot	(from https://bonevn.net/assets/css/style.css)
15:48:09	1544/1544	---M--	200	added ('OK')	font/woff	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/fonts/pct.woff	D:/www/kuluc/bonevn.net/assets/fonts/pct.woff	(from https://bonevn.net/assets/css/style.css)
15:48:09	2400/2400	---M--	200	added ('OK')	font/ttf	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/fonts/pct.ttf	D:/www/kuluc/bonevn.net/assets/fonts/pct.ttf	(from https://bonevn.net/assets/css/style.css)
15:48:10	2530/2530	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/fonts/pct.svg	D:/www/kuluc/bonevn.net/assets/fonts/pct.svg	(from https://bonevn.net/assets/css/style.css)
15:48:10	55828/55828	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/fonts/feather.eot?t=1501841394106	D:/www/kuluc/bonevn.net/assets/fonts/feather6cfa.eot	(from https://bonevn.net/assets/css/style.css)
15:48:10	26432/26432	---M--	200	added ('OK')	font/woff	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/fonts/feather.woff?t=1501841394106	D:/www/kuluc/bonevn.net/assets/fonts/feather6cfa.woff	(from https://bonevn.net/assets/css/style.css)
15:48:11	191595/191595	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/fonts/feather.svg?t=1501841394106	D:/www/kuluc/bonevn.net/assets/fonts/feather6cfa.svg	(from https://bonevn.net/assets/css/style.css)
15:48:11	55664/55664	---M--	200	added ('OK')	font/ttf	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/fonts/feather.ttf?t=1501841394106	D:/www/kuluc/bonevn.net/assets/fonts/feather6cfa.ttf	(from https://bonevn.net/assets/css/style.css)
15:48:12	134396/134396	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/fonts/fa-brands-400.eot?	D:/www/kuluc/bonevn.net/assets/fonts/fa-brands-400d41d.eot	(from https://bonevn.net/assets/css/style.css)
15:48:12	74288/74288	---M--	200	added ('OK')	font/woff2	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/fonts/fa-brands-400.woff2	D:/www/kuluc/bonevn.net/assets/fonts/fa-brands-400.woff2	(from https://bonevn.net/assets/css/style.css)
15:48:12	134396/134396	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/fonts/fa-brands-400.eot	D:/www/kuluc/bonevn.net/assets/fonts/fa-brands-400.eot	(from https://bonevn.net/assets/css/style.css)
15:48:12	87048/87048	---M--	200	added ('OK')	font/woff	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/fonts/fa-brands-400.woff	D:/www/kuluc/bonevn.net/assets/fonts/fa-brands-400.woff	(from https://bonevn.net/assets/css/style.css)
15:48:12	134160/134160	---M--	200	added ('OK')	font/ttf	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/fonts/fa-brands-400.ttf	D:/www/kuluc/bonevn.net/assets/fonts/fa-brands-400.ttf	(from https://bonevn.net/assets/css/style.css)
15:48:13	40308/40308	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/fonts/fa-regular-400.eot	D:/www/kuluc/bonevn.net/assets/fonts/fa-regular-400.eot	(from https://bonevn.net/assets/css/style.css)
15:48:13	749737/749737	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/fonts/fa-brands-400.svg	D:/www/kuluc/bonevn.net/assets/fonts/fa-brands-400.svg	(from https://bonevn.net/assets/css/style.css)
15:48:13	40308/40308	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/fonts/fa-regular-400.eot?	D:/www/kuluc/bonevn.net/assets/fonts/fa-regular-400d41d.eot	(from https://bonevn.net/assets/css/style.css)
15:48:13	14872/14872	---M--	200	added ('OK')	font/woff2	date:Sun,%2016%20Feb%202020%2009:55:00%20GMT	https://bonevn.net/assets/fonts/fa-regular-400.woff2	D:/www/kuluc/bonevn.net/assets/fonts/fa-regular-400.woff2	(from https://bonevn.net/assets/css/style.css)
